,OBJECTID,FLIGHT,STRIP,PHOTO_ID,QUALITY,TWD97_E,TWD97_N,TWD97_H,TWD67_E,TWD67_N,TWD67_H,LN,DATE_,TIME_,SEC,MAP_ID,SC,RI,MP,DP,SW,CLOUD,SECRET,OMEGA,PHI,KAPPA,STD_X,STD_Y,STD_H,STD_OMEGA,STD_PHI,STD_KAPPA,filename
86,87,210102e,34,0087,b,234212.752,2639617.873,3962.475,233384.398,2639823.756,3939.78,34,20210102,1032,4.711,95201054,4,1,y,36,DMC,-9,0,0.64374,1.998174,91.383549,0.013642,0.022416,0.015668,0.00404,0.004212,0.009918,210102e_34~0087.tif
87,88,210102e,34,0088,b,234233.896,2640310.039,3963.35,233405.521,2640515.864,3940.703,34,20210102,1032,12.808,--------,4,1,y,36,DMC,-9,0,0.858389,2.525198,89.331233,0.013627,0.022413,0.015595,0.00404,0.004214,0.009919,210102e_34~0088.tif
88,89,210102e,34,0089,b,234274.282,2641002.133,3962.603,233445.884,2641207.904,3939.995,34,20210102,1032,20.908,--------,4,1,y,36,DMC,-9,0,0.850652,1.001045,88.294323,0.013588,0.022358,0.01542,0.004049,0.004226,0.00992,210102e_34~0089.tif
105,106,210102e,34,0106,a,234289.601,2652767.956,3962.837,233460.972,2652973.584,3940.917,34,20210102,1034,38.912,--------,4,1,y,36,DMC,-9,0,1.013656,-2.119275,91.36644,0.013703,0.022224,0.015689,0.004018,0.004202,0.00977,210102e_34~0106.tif
121,122,210102e,34,0122,a,234226.497,2663842.755,3959.081,233397.777,2664048.593,3937.513,34,20210102,1036,49.054,--------,4,1,y,36,DMC,-9,0,0.86309,1.87891,92.2752,0.013657,0.022311,0.015745,0.003909,0.004106,0.009534,210102e_34~0122.tif
128,129,210102e,34,0129,a,234281.184,2668688.867,3957.823,233452.45,2668894.716,3936.401,34,20210102,1037,46.255,--------,4,1,y,36,DMC,-9,0,0.820808,0.692385,90.519783,0.01342,0.022363,0.014595,0.003809,0.004013,0.009439,210102e_34~0129.tif
189,190,210102e,33,0190,b,231727.547,2639616.633,3961.838,230899.148,2639822.481,3939.436,33,20210102,1051,39.139,95201053,4,1,y,18,DMC,-9,0,-1.008874,-0.384577,-90.972915,0.01402,0.022467,0.016523,0.003661,0.003796,0.009527,210102e_33~0190.tif
190,191,210102e,33,0191,b,231732.709,2638925.115,3962.698,230904.319,2639131.015,3940.244,33,20210102,1051,46.059,--------,4,1,y,18,DMC,-9,0,-1.004283,-0.736174,-91.344451,0.013716,0.022382,0.015963,0.003646,0.003782,0.00952,210102e_33~0191.tif
200,201,210102e,33,0201,a,231703.576,2632003.333,3963.659,230875.225,2632209.479,3940.785,33,20210102,1052,55.345,--------,4,1,y,18,DMC,-9,0,-0.992317,-0.028219,-92.000042,0.01357,0.022271,0.015738,0.003601,0.003735,0.009434,210102e_33~0201.tif
209,210,210102e,33,0210,a,231691.626,2625773.326,3966.568,230863.509,2625979.572,3943.035,33,20210102,1053,57.83,95202003,4,1,y,18,DMC,-9,0,-0.971441,0.723171,-91.073001,0.013474,0.022246,0.015611,0.003509,0.003639,0.009243,210102e_33~0210.tif
323,324,210102e,24,0324,a,208627.422,2581530.497,3901.934,207799.418,2581738.16,3878.61,24,20210102,1123,33.555,95194064,4,1,y,36,DMC,-9,0,1.078328,-1.908431,90.858054,0.013512,0.022232,0.017771,0.004012,0.004103,0.00952,210102e_24~0324.tif
330,331,210102e,24,0331,b,208636.919,2586375.486,3900.121,207808.916,2586582.94,3876.837,24,20210102,1124,26.608,--------,4,1,y,36,DMC,-9,0,0.945204,-0.738973,90.950969,0.012685,0.021887,0.016478,0.004069,0.004142,0.009705,210102e_24~0331.tif
331,332,210102e,24,0332,b,208625.063,2587066.552,3900.883,207797.055,2587273.981,3877.63,24,20210102,1124,34.156,95194044,4,1,y,36,DMC,-9,0,1.018868,1.904045,89.943867,0.012642,0.021858,0.016405,0.004059,0.004136,0.00974,210102e_24~0332.tif
332,333,210102e,24,0333,b,208634.612,2587759.042,3902.834,207806.599,2587966.444,3879.619,24,20210102,1124,41.737,--------,4,1,y,36,DMC,-9,0,1.021719,1.705678,89.039679,0.012586,0.021824,0.016273,0.004037,0.004122,0.009769,210102e_24~0333.tif
335,336,210102e,24,0336,a,208684.968,2589835.424,3901.736,207856.948,2590042.725,3878.597,24,20210102,1125,4.475,95194034,4,1,y,36,DMC,-9,0,0.882181,-2.583281,89.433271,0.01252,0.021794,0.01613,0.00407,0.004153,0.009835,210102e_24~0336.tif
336,337,210102e,24,0337,a,208665.794,2590528.154,3900.663,207837.777,2590735.412,3877.552,24,20210102,1125,12.051,--------,4,1,y,36,DMC,-9,0,0.888757,-1.844026,90.823147,0.012452,0.021775,0.015996,0.004079,0.004147,0.009862,210102e_24~0337.tif
351,352,210102e,26,0352,b,213771.22,2605737.598,3898.01,212943.103,2605944.421,3874.742,26,20210102,1137,44.273,--------,4,1,y,18,DMC,-9,0,-0.878783,0.035477,-90.577504,0.012483,0.02164,0.01659,0.004167,0.004277,0.011022,210102e_26~0352.tif
362,363,210102e,26,0363,a,213765.414,2598125.119,3899.256,212937.303,2598331.74,3875.603,26,20210102,1139,2.431,95194006,4,1,y,18,DMC,-9,0,-0.981098,-0.243686,-90.725498,0.012435,0.021608,0.016526,0.004232,0.004358,0.011441,210102e_26~0363.tif
369,370,210102e,26,0370,b,213770.413,2593278.936,3899.462,212942.309,2593485.849,3875.642,26,20210102,1139,52.107,--------,4,1,y,18,DMC,-9,0,-1.049282,-0.197705,-89.719341,0.01261,0.021696,0.017418,0.004331,0.00444,0.011607,210102e_26~0370.tif
371,372,210102e,26,0372,b,213769.584,2591894.852,3899.525,212941.496,2592101.877,3875.653,26,20210102,1140,6.304,--------,4,1,y,18,DMC,-9,0,-0.910767,-1.081099,-90.417287,0.012713,0.021708,0.017748,0.004337,0.004451,0.011656,210102e_26~0372.tif
380,381,210102e,26,0381,a,213787.318,2585666.386,3900.093,212959.359,2585873.795,3876.096,26,20210102,1141,10.197,--------,4,1,y,18,DMC,-9,0,-1.032894,-0.540807,-91.228183,0.013006,0.021766,0.018509,0.00438,0.004495,0.011817,210102e_26~0381.tif
404,405,210102e,26,0405,a,213738.771,2569054.992,3899.703,212911.0,2569262.625,3875.662,26,20210102,1144,2.816,--------,4,1,y,18,DMC,-9,0,-0.965452,-0.872367,-92.083562,0.021834,0.021749,0.018613,0.004456,0.004563,0.012144,210102e_26~0405.tif
629,565,210102g,35,0127,a,236755.466,2524725.217,5180.797,235926.664,2524933.024,5154.611,35,20210102,1240,24.47,--------,4,1,y,36,DMC,-9,0,1.696636,-3.265545,93.869473,0.014406,0.022012,0.018972,0.003392,0.003402,0.006827,210102g_35~0127.tif
631,567,210102g,35,0129,a,236697.531,2526109.435,5184.66,235868.728,2526317.17,5158.424,35,20210102,1240,39.396,95181065,4,1,y,0,DMC,-9,0,2.346185,-2.639668,99.331084,0.014651,0.021838,0.019028,0.003495,0.003486,0.00688,210102g_35~0129.tif
634,570,210102g,35,0132,b,236775.871,2528185.602,5186.971,235947.1,2528393.228,5160.67,35,20210102,1241,1.549,--------,4,1,y,36,DMC,-9,0,0.876747,2.672432,92.092013,0.0146,0.022028,0.019417,0.003624,0.00358,0.006842,210102g_35~0132.tif
635,571,210102g,35,0133,b,236850.113,2528878.495,5185.575,236021.364,2529086.086,5159.257,35,20210102,1241,8.858,95181055,4,1,y,36,DMC,-9,0,1.117641,-1.67119,92.097429,0.014564,0.022081,0.019345,0.003586,0.003559,0.006838,210102g_35~0133.tif
636,572,210102g,35,0134,b,236867.461,2529569.632,5183.717,236038.736,2529777.188,5157.381,35,20210102,1241,16.223,--------,4,1,y,36,DMC,-9,0,2.022396,-5.724048,95.114584,0.014652,0.022031,0.019443,0.003582,0.003569,0.006864,210102g_35~0134.tif
652,588,210102g,35,0150,a,236693.968,2540643.521,5189.588,235866.156,2540850.653,5162.959,35,20210102,1243,15.432,--------,4,1,y,36,DMC,-9,0,0.298109,6.678211,93.133633,0.014306,0.02194,0.018937,0.003679,0.003617,0.00681,210102g_35~0150.tif
664,600,210102g,31,0162,a,226476.78,2530271.407,5183.969,225647.61,2530478.969,5158.512,31,20210102,1254,18.974,--------,4,1,y,18,DMC,-9,0,-1.229779,-1.559935,-96.379654,0.014402,0.021705,0.019418,0.003458,0.003565,0.008172,210102g_31~0162.tif
672,608,210102g,31,0170,a,226437.695,2524734.135,5185.532,225608.587,2524942.122,5160.117,31,20210102,1255,14.927,--------,4,1,y,18,DMC,-9,0,-1.155509,-2.076544,-97.925873,0.014289,0.021628,0.018449,0.003442,0.00355,0.008247,210102g_31~0170.tif
679,615,210102g,31,0177,a,226397.318,2519889.756,5182.424,225568.509,2520097.985,5157.245,31,20210102,1256,3.719,--------,4,1,y,18,DMC,-9,0,-0.566731,2.144629,-96.660101,0.014043,0.021603,0.018052,0.003355,0.003482,0.008239,210102g_31~0177.tif
695,631,210102g,31,0193,b,226381.587,2508816.717,5183.462,225553.738,2509025.326,5158.484,31,20210102,1257,54.884,--------,4,1,y,18,DMC,-9,0,-0.825828,1.601509,-95.030081,0.013476,0.021516,0.017828,0.003112,0.003312,0.008266,210102g_31~0193.tif
703,639,210102g,31,0201,b,226347.979,2503281.603,5186.269,225520.592,2503490.349,5161.359,31,20210102,1258,50.648,--------,4,1,y,18,DMC,-9,0,-0.69202,1.334969,-96.334525,0.013666,0.021515,0.018151,0.00296,0.003183,0.008296,210102g_31~0201.tif
707,643,210102g,31,0205,b,226371.828,2500512.856,5185.003,225544.437,2500721.802,5160.155,31,20210102,1259,18.286,--------,4,1,y,18,DMC,-9,0,-0.905086,0.118531,-95.848914,0.013738,0.021554,0.018397,0.003024,0.003203,0.008319,210102g_31~0205.tif
737,673,210103g,32,0030,b,228968.124,2504664.79,5201.277,228140.622,2504873.474,5176.314,32,20210103,1009,51.096,--------,4,1,y,36,DMC,-9,0,-0.240815,2.961082,97.014802,0.013061,0.022908,0.018011,0.003513,0.0036,0.00825,210103g_32~0030.tif
738,674,210103g,32,0031,b,228961.367,2505357.397,5199.665,228133.818,2505566.057,5174.671,32,20210103,1009,57.385,--------,4,1,y,36,DMC,-9,0,-0.191868,4.630148,95.201725,0.012929,0.02295,0.017943,0.003523,0.003605,0.00826,210103g_32~0031.tif
739,675,210103g,32,0032,b,228979.919,2506048.996,5198.366,228152.314,2506257.634,5173.332,32,20210103,1010,3.625,--------,4,1,y,36,DMC,-9,0,0.217995,3.682112,93.331386,0.012825,0.022956,0.017804,0.003526,0.00361,0.00828,210103g_32~0032.tif
770,706,210103g,32,0063,a,229034.327,2527502.3,5192.774,228205.243,2527710.013,5167.027,32,20210103,1013,30.666,--------,4,1,y,36,DMC,-9,0,0.872371,0.690669,93.271463,0.013582,0.02323,0.018981,0.003846,0.003947,0.008846,210103g_32~0063.tif
913,849,210103g,32,0206,a,229126.39,2587711.206,5184.854,228298.659,2587918.26,5158.645,32,20210103,1038,22.483,--------,4,1,y,18,DMC,-9,0,-0.965173,0.030369,-96.811487,0.01389,0.023461,0.015564,0.003725,0.003808,0.009023,210103g_32~0206.tif
934,870,210103g,32,0227,a,229080.416,2573176.212,5188.135,228253.063,2573383.585,5162.078,32,20210103,1040,49.827,95191092,4,1,y,18,DMC,-9,0,-0.775966,0.106591,-96.890597,0.012769,0.022914,0.013989,0.003616,0.003675,0.008721,210103g_32~0227.tif
1281,1256,210104f,42,0005,b,254659.984,2537869.336,4593.951,253831.604,2538076.889,4567.309,42,20210104,1037,15.328,--------,4,1,y,36,DMC,-9,0,0.814273,1.6483,93.992711,0.015383,0.023337,0.017307,0.003842,0.003942,0.008506,210104f_42~0005.tif
1285,1260,210104f,42,0009,a,254697.215,2540637.547,4596.319,253868.925,2540845.062,4569.567,42,20210104,1037,42.087,--------,4,1,y,36,DMC,-9,0,1.247281,-2.19895,94.732757,0.01518,0.02316,0.016848,0.003834,0.003944,0.008531,210104f_42~0009.tif
1287,1262,210104f,42,0011,a,254650.301,2542022.136,4593.715,253822.054,2542229.627,4566.929,42,20210104,1037,55.536,--------,4,1,y,36,DMC,-9,0,0.972661,-0.369192,96.202487,0.015174,0.023085,0.016931,0.003871,0.00397,0.008552,210104f_42~0011.tif
1296,1271,210104f,42,0020,b,254648.813,2548249.181,4591.747,253820.692,2548456.511,4564.633,42,20210104,1038,55.585,96193082,4,1,y,36,DMC,-9,0,0.804711,0.019583,96.67408,0.014397,0.022418,0.015857,0.003891,0.003992,0.008589,210104f_42~0020.tif
1299,1274,210104f,42,0023,b,254660.489,2550326.261,4597.73,253832.383,2550533.527,4570.493,42,20210104,1039,15.554,--------,4,1,y,36,DMC,-9,0,0.828863,2.532832,93.406276,0.014156,0.02238,0.015606,0.003894,0.003993,0.008568,210104f_42~0023.tif
1300,1275,210104f,42,0024,a,254682.973,2551018.879,4597.898,253854.868,2551226.123,4570.633,42,20210104,1039,22.219,96193072,4,1,y,36,DMC,-9,0,0.828026,-0.568962,93.641412,0.014164,0.022377,0.015648,0.003903,0.004005,0.008581,210104f_42~0024.tif
1379,1354,210104d,40,0052,b,249591.309,2509491.237,3284.82,248762.757,2509699.554,3259.896,40,20210104,1149,53.471,95182030,4,1,y,18,DMC,-9,1,-0.588569,2.279385,-93.098521,0.015207,0.022286,0.02104,0.003525,0.003569,0.008197,210104d_40~0052.tif
1383,1358,210104d,40,0056,b,249538.507,2506723.215,3282.91,248710.055,2506931.753,3258.164,40,20210104,1150,24.033,95182040,4,1,y,18,DMC,-9,0,-0.610733,1.391044,-95.232185,0.015358,0.022272,0.021237,0.003488,0.003552,0.00819,210104d_40~0056.tif
1385,1360,210104d,40,0058,b,249554.246,2505339.459,3289.389,248725.844,2505548.109,3264.74,40,20210104,1150,39.259,--------,4,1,y,18,DMC,-9,1,-1.300867,1.188589,-93.262701,0.015316,0.022311,0.021204,0.003479,0.003551,0.008209,210104d_40~0058.tif
1392,1367,210104d,40,0065,a,249532.589,2500495.173,3287.311,248704.289,2500704.053,3262.935,40,20210104,1151,32.651,--------,4,1,y,18,DMC,-9,0,-1.546643,-4.223951,-95.158871,0.015499,0.022311,0.02126,0.003535,0.003586,0.008151,210104d_40~0065.tif
1396,1371,210104d,40,0069,a,249600.797,2497726.818,3287.657,248772.53,2497935.751,3263.513,40,20210104,1152,3.105,--------,4,3,y,18,DMC,-9,0,-1.103292,-3.580971,-90.012093,0.015591,0.022372,0.021544,0.003538,0.003595,0.008178,210104d_40~0069.tif
1401,1376,210104d,40,0074,a,249549.15,2494266.161,3287.18,248720.96,2494475.171,3263.35,40,20210104,1152,41.261,--------,4,1,y,18,DMC,-9,0,-1.108468,1.427386,-93.509864,0.015464,0.022281,0.021065,0.003375,0.003456,0.008155,210104d_40~0074.tif
1424,1399,210104d,38,0097,b,244420.285,2494959.468,3286.765,243592.233,2495168.518,3262.498,38,20210104,1205,48.613,--------,4,1,y,18,DMC,-9,0,-1.601239,-2.256304,-95.810377,0.01578,0.022224,0.020855,0.00346,0.003544,0.008005,210104d_38~0097.tif
1425,1400,210104d,38,0098,b,244372.87,2494267.159,3286.579,243544.836,2494476.223,3262.362,38,20210104,1205,56.249,--------,4,3,y,18,DMC,-9,0,-1.287697,-0.831495,-96.72387,0.015797,0.022208,0.020787,0.003468,0.003549,0.007999,210104d_38~0098.tif
1431,1406,210104d,38,0104,a,244380.18,2490115.709,3281.973,243552.194,2490324.843,3258.011,38,20210104,1206,41.945,95182098,4,1,y,18,DMC,-9,0,-1.113136,0.458667,-95.401964,0.014989,0.02195,0.019395,0.003478,0.003571,0.008089,210104d_38~0104.tif
1438,1413,210104d,38,0111,a,244412.732,2485270.736,3284.587,243584.712,2485479.93,3260.852,38,20210104,1207,35.653,--------,4,1,y,18,DMC,-9,0,-0.771993,2.593027,-92.215015,0.01476,0.02198,0.019105,0.003548,0.003611,0.008145,210104d_38~0111.tif
1533,2353,210106h,52,0338,b,280030.601,2656942.899,5755.884,279200.778,2657149.572,5729.701,52,20210106,1158,30.332,--------,4,1,y,18,DMC,-9,0,-0.666702,1.992774,-99.037181,0.014769,0.023463,0.019076,0.003572,0.003576,0.007372,210106h_52~0338.tif
2107,2056,210106h,52,0041,b,279995.413,2704014.033,5755.139,279165.557,2704219.342,5729.837,52,20210106,1039,43.135,--------,4,1,y,18,DMC,-9,0,-2.071055,0.243052,-97.9732,0.014661,0.024151,0.017493,0.003519,0.003627,0.008428,210106h_52~0041.tif
2119,2068,210106h,52,0053,a,279960.044,2695704.663,5770.922,279130.225,2695910.407,5745.46,52,20210106,1041,23.707,--------,4,1,y,18,DMC,-9,0,0.941864,1.079439,-99.589487,0.014574,0.024072,0.017393,0.003547,0.003643,0.008444,210106h_52~0053.tif
2128,2077,210106h,52,0062,a,279986.197,2689475.896,5768.894,279156.413,2689681.847,5743.309,52,20210106,1042,27.381,96211072,4,1,y,18,DMC,-9,0,-0.153427,-0.136297,-97.592329,0.014406,0.024103,0.017013,0.003461,0.003564,0.008379,210106h_52~0062.tif
2141,2090,210106h,52,0075,a,279988.787,2680476.822,5759.513,279158.82,2680682.554,5733.559,52,20210106,1043,56.248,--------,4,1,y,18,DMC,-9,0,-0.258214,4.038908,-98.341146,0.014135,0.024081,0.016567,0.003529,0.003567,0.008081,210106h_52~0075.tif
2174,2123,210106h,48,0108,b,269817.429,2703301.929,5761.191,268987.532,2703507.359,5736.058,48,20210106,1102,40.031,96214028,4,1,y,18,DMC,-9,0,-0.964443,0.240794,-98.133995,0.013833,0.023813,0.017081,0.003772,0.003837,0.009444,210106h_48~0108.tif
2178,2127,210106h,48,0112,b,269829.34,2700532.535,5760.525,268999.437,2700738.089,5735.222,48,20210106,1103,8.166,96214038,4,1,y,18,DMC,-9,0,-0.694774,1.430369,-96.972301,0.013713,0.023826,0.017027,0.003823,0.003866,0.009434,210106h_48~0112.tif
2269,2218,210106h,50,0203,a,274987.774,2661087.832,5762.998,274158.085,2661294.419,5736.769,50,20210106,1128,36.214,--------,4,1,y,18,DMC,-9,0,-1.126173,-0.337959,-98.535184,0.014502,0.023575,0.019513,0.003755,0.003916,0.008855,210106h_50~0203.tif
2291,2240,210106h,50,0225,a,274996.509,2645859.813,5768.312,274166.421,2646066.756,5741.965,50,20210106,1131,14.187,--------,4,1,y,18,DMC,-9,0,-0.80359,0.009835,-97.944386,0.014475,0.023581,0.01941,0.003634,0.003806,0.009019,210106h_50~0225.tif
2295,2244,210106h,50,0229,a,274990.098,2643089.927,5766.525,274160.03,2643296.888,5740.121,50,20210106,1131,42.577,--------,4,1,y,18,DMC,-9,0,-0.815588,0.465128,-97.976173,0.014523,0.023602,0.019505,0.003584,0.00376,0.008989,210106h_50~0229.tif
2299,2248,210106h,50,0233,b,275012.593,2640322.443,5769.044,274182.589,2640529.41,5742.616,50,20210106,1132,10.583,--------,4,1,y,18,DMC,-9,0,-0.733346,0.298204,-97.65612,0.01457,0.023631,0.01971,0.003557,0.003733,0.008949,210106h_50~0233.tif
2309,2258,210106h,50,0243,b,275021.126,2633399.058,5768.085,274191.411,2633606.018,5741.545,50,20210106,1133,21.457,--------,4,1,y,18,DMC,-9,0,-1.163526,0.076223,-97.342146,0.015022,0.023766,0.020473,0.003434,0.003621,0.008822,210106h_50~0243.tif
2313,2262,210106h,50,0247,b,275048.965,2630631.035,5765.496,274219.392,2630837.99,5738.967,50,20210106,1133,50.344,--------,4,1,y,18,DMC,-9,0,-0.978644,0.071875,-97.56124,0.014876,0.023743,0.020585,0.003357,0.003556,0.008743,210106h_50~0247.tif
2376,2325,210106h,52,0310,b,280089.286,2676324.787,5753.065,279259.433,2676530.444,5726.949,52,20210106,1154,57.235,--------,4,1,y,18,DMC,-9,0,-2.03673,-2.028003,-97.949984,0.014678,0.023507,0.019521,0.00347,0.00354,0.007561,210106h_52~0310.tif
2404,2405,210106h,48,0390,b,269968.653,2609861.508,5773.708,269139.878,2610068.348,5746.047,48,20210106,1220,19.286,--------,4,1,y,36,DMC,-9,0,0.578526,-0.045966,97.103239,0.016026,0.024139,0.021135,0.003513,0.003671,0.008137,210106h_48~0390.tif
2405,2406,210106h,48,0391,a,269977.263,2610554.178,5774.725,269148.47,2610761.02,5747.123,48,20210106,1220,25.743,--------,4,1,y,36,DMC,-9,0,0.285692,0.309752,96.881109,0.016056,0.024148,0.021203,0.003523,0.003677,0.008135,210106h_48~0391.tif
2418,2588,210109a,7,0129,b,165464.291,2636395.893,2633.249,164636.728,2636602.225,2614.005,7,20210109,1213,57.487,--------,4,1,y,36,DMC,-9,0,1.044689,2.650008,89.369563,0.018054,0.025937,0.022946,0.003462,0.003604,0.008613,210109a_7~0129.tif
2420,2590,210109a,7,0131,b,165518.786,2637779.396,2633.556,164691.24,2637985.696,2614.341,7,20210109,1214,12.885,--------,4,1,y,36,DMC,-9,0,0.867068,-1.053399,88.916125,0.01808,0.025925,0.022954,0.003475,0.003598,0.00857,210109a_7~0131.tif
2421,2591,210109a,7,0132,b,165516.714,2638471.664,2630.013,164689.176,2638677.948,2610.809,7,20210109,1214,20.593,--------,4,1,y,36,DMC,-9,0,0.944426,-2.075444,90.22049,0.018655,0.025892,0.02326,0.003502,0.003628,0.008538,210109a_7~0132.tif
2477,2647,210110g,33,0018,a,231672.174,2591173.241,5093.503,230844.304,2591380.18,5067.016,33,20210110,1122,40.616,--------,4,1,y,36,DMC,-9,0,0.636203,0.26285,94.322811,0.016067,0.024396,0.021541,0.003774,0.003779,0.009029,210110g_33~0018.tif
2483,2419,210106h,48,0404,a,269984.127,2619550.626,5763.556,269155.01,2619757.509,5736.505,48,20210106,1221,46.693,--------,4,1,y,36,DMC,-9,0,2.100708,-3.501102,98.188588,0.01643,0.02426,0.021697,0.003676,0.003758,0.00811,210106h_48~0404.tif
2504,2440,210106h,48,0425,a,269934.752,2634086.853,5761.788,269104.913,2634293.796,5735.063,48,20210106,1223,58.7,96204078,4,1,y,36,DMC,-9,0,1.223095,-0.35774,98.191561,0.01613,0.024116,0.021113,0.003328,0.003492,0.008152,210106h_48~0425.tif
2539,2475,210109a,8,0016,a,167976.727,2621847.334,2639.417,167148.177,2622054.3,2619.891,8,20210109,1147,49.428,--------,4,3,y,36,DMC,-9,0,1.081296,-0.925637,90.531424,0.017455,0.025563,0.022505,0.003857,0.003897,0.008978,210109a_8~0016.tif
2545,2481,210109a,8,0022,b,167980.523,2626001.333,2638.656,167152.394,2626208.042,2619.19,8,20210109,1148,37.312,94203008,4,3,y,36,DMC,-9,0,0.910701,-1.8245,91.479045,0.017452,0.025546,0.022413,0.003909,0.003928,0.008943,210109a_8~0022.tif
2550,2486,210109a,8,0027,a,168007.238,2629463.06,2635.631,167179.536,2629669.562,2616.228,8,20210109,1149,17.151,--------,4,3,y,36,DMC,-9,0,1.05161,-1.41471,90.300351,0.017377,0.025524,0.022307,0.003858,0.003889,0.008888,210109a_8~0027.tif
2556,2492,210109a,8,0033,a,168020.643,2633615.353,2640.376,167193.06,2633821.76,2621.068,8,20210109,1150,4.863,--------,4,1,y,36,DMC,-9,0,1.23781,-2.613482,91.400658,0.017435,0.025521,0.022339,0.003913,0.00393,0.008814,210109a_8~0033.tif
2561,2497,210109a,8,0038,b,168083.625,2637075.219,2638.645,167256.06,2637281.55,2619.418,8,20210109,1150,44.85,94204068,4,1,y,36,DMC,-9,0,1.008601,-2.306139,89.479497,0.01765,0.02563,0.022783,0.00384,0.00387,0.008694,210109a_8~0038.tif
2562,2498,210109a,8,0039,b,168061.355,2637767.264,2630.094,167233.794,2637973.577,2610.881,8,20210109,1150,52.867,--------,4,1,y,36,DMC,-9,0,1.015554,-2.049574,91.109631,0.017644,0.025596,0.022839,0.003832,0.003857,0.008697,210109a_8~0039.tif
2570,2506,210109a,9,0047,b,170646.365,2642595.086,2634.364,169818.769,2642801.243,2615.231,9,20210109,1157,34.328,94204049,4,1,y,18,DMC,-9,0,-0.896068,-0.070815,-90.309776,0.017565,0.025619,0.022248,0.003713,0.003759,0.008961,210109a_9~0047.tif
2576,2512,210109a,9,0053,b,170609.21,2638442.502,2633.568,169781.59,2638648.813,2614.373,9,20210109,1158,23.556,--------,4,1,y,18,DMC,-9,0,-1.13514,-0.517297,-91.406254,0.017626,0.025657,0.022456,0.00374,0.003793,0.009144,210109a_9~0053.tif
2597,2533,210109a,9,0074,a,170490.106,2623906.417,2633.308,169661.613,2624113.325,2613.794,9,20210109,1201,18.163,--------,4,3,y,18,DMC,-9,0,-0.849792,2.77188,-92.624908,0.017838,0.025715,0.022723,0.003867,0.003907,0.009353,210109a_9~0074.tif
2599,2535,210109a,9,0076,a,170562.864,2622522.359,2633.696,169734.199,2622729.336,2614.161,9,20210109,1201,34.987,--------,4,3,y,18,DMC,-9,0,-1.083054,-1.438249,-90.739764,0.01795,0.025782,0.022975,0.003876,0.003901,0.009364,210109a_9~0076.tif
2603,2539,210109a,9,0080,a,170504.823,2619752.859,2639.063,169676.221,2619959.665,2619.474,9,20210109,1202,8.946,--------,4,3,y,18,DMC,-9,0,-0.950868,2.339605,-91.663214,0.017933,0.025774,0.022849,0.00386,0.003878,0.009381,210109a_9~0080.tif
2611,2547,210109a,9,0088,b,170484.491,2614215.47,2633.904,169656.536,2614421.882,2614.282,9,20210109,1203,16.871,--------,4,3,y,18,DMC,-9,0,-1.142893,-0.015495,-93.201675,0.01804,0.025797,0.023032,0.003669,0.00373,0.009415,210109a_9~0088.tif
2615,2551,210109a,7,0092,a,165345.714,2611061.343,2635.973,164517.635,2611268.267,2616.478,7,20210109,1209,10.372,--------,4,3,y,36,DMC,-9,0,0.244374,1.300844,90.569184,0.018275,0.025979,0.023369,0.003606,0.00369,0.008946,210109a_7~0092.tif
2618,2554,210109a,7,0095,a,165358.318,2612861.613,2635.04,164530.284,2613068.436,2615.54,7,20210109,1209,31.086,--------,4,3,y,36,DMC,-9,0,1.462537,-4.396359,93.220983,0.018434,0.026009,0.023536,0.003704,0.003783,0.00894,210109a_7~0095.tif
2629,2565,210109a,7,0106,a,165400.04,2620477.691,2633.399,164571.807,2620684.487,2613.887,7,20210109,1210,58.509,94203027,4,3,y,36,DMC,-9,0,0.391448,2.873964,92.638098,0.018259,0.025972,0.023375,0.003666,0.003774,0.008911,210109a_7~0106.tif
2662,2663,210110g,33,0034,a,231679.456,2602246.655,5093.932,230851.256,2602453.592,5067.934,33,20210110,1124,28.333,--------,4,1,y,36,DMC,-9,0,0.77667,-0.787797,94.650564,0.015159,0.024078,0.019885,0.003788,0.003785,0.009181,210110g_33~0034.tif
2676,2677,210110g,33,0048,a,231673.45,2611935.3,5084.896,230845.267,2612142.098,5059.859,33,20210110,1126,0.977,95202053,4,1,y,36,DMC,-9,0,1.161288,-0.964208,93.377109,0.014728,0.023978,0.019127,0.003716,0.003707,0.00893,210110g_33~0048.tif
2682,2683,210110g,33,0054,b,231712.018,2616090.145,5084.663,230883.978,2616296.844,5060.084,33,20210110,1126,40.452,--------,4,1,y,36,DMC,-9,0,0.901348,0.511294,94.233176,0.014541,0.023904,0.01867,0.003697,0.003672,0.008814,210110g_33~0054.tif
2685,2686,210110g,33,0057,b,231654.027,2618165.943,5083.418,230826.047,2618372.564,5059.102,33,20210110,1127,0.269,--------,4,1,y,36,DMC,-9,0,0.204415,4.344817,95.490359,0.014613,0.023881,0.018779,0.003788,0.003742,0.008678,210110g_33~0057.tif
2687,2688,210110g,33,0059,b,231706.932,2619550.669,5086.912,230878.968,2619757.224,5062.746,33,20210110,1127,13.366,--------,4,1,y,36,DMC,-9,0,1.180664,-0.687416,93.321006,0.014513,0.023869,0.018463,0.003698,0.003645,0.008606,210110g_33~0059.tif
